         1417048 function calls (1366078 primitive calls) in 36.205 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.145    0.145 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\importlib\metadata\__init__.py:456(load)
        1    0.000    0.000    0.145    0.145 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\base.py:876(compile_internal)
      178    0.000    0.000    0.145    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\importlib\metadata\__init__.py:1018(<genexpr>)
        1    0.000    0.000    0.144    0.144 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\base.py:847(compile_subroutine)
        1    0.000    0.000    0.144    0.144 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\base.py:809(_compile_subroutine_no_cache)
        1    0.000    0.000    0.135    0.135 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\sparse\csgraph\_laplacian.py:1(<module>)
        1    0.000    0.000    0.132    0.132 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\sparse\linalg\__init__.py:1(<module>)
      246    0.001    0.000    0.132    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\templates.py:1054(__init__)
  617/613    0.002    0.000    0.130    0.000 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\templates.py:356(apply)
      239    0.002    0.000    0.129    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\templates.py:1100(_init_once)
        1    0.000    0.000    0.126    0.126 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\compiler.py:806(compile_internal)
        1    0.000    0.000    0.125    0.125 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\linalg\_basic.py:1(<module>)
      248    0.002    0.000    0.124    0.001 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\typing\templates.py:907(_get_target_registry)
       10    0.000    0.000    0.123    0.012 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\codegen.py:731(add_ir_module)
        2    0.000    0.000    0.114    0.057 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\matplotlib\axis.py:1150(draw)
        1    0.000    0.000    0.113    0.113 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\linalg\_decomp.py:1(<module>)
      177    0.000    0.000    0.112    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\importlib\metadata\__init__.py:629(entry_points)
     1012    0.005    0.000    0.109    0.000 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\numba\core\extending.py:129(decorate)
        1    0.000    0.000    0.109    0.109 C:\Users\dani1\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\scipy\_lib\_util.py:1(<module>)
      177    0.002    0.000    0.104    0.001 C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.10_3.10.3056.0_x64__qbz5n2kfra8p0\lib\importlib\metadata\__init__.py:919(read_text)
      322    0.001    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      188    0.098    0.001    0.099    0.001 {built-in method io.open}
